Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Durgapur to Calcutta,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),18:45,03h 35m,22:00,4.3,INR 486,5 Seats available
Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,SBSTC-KARUNAMOYEE - BURDWAN - 19:30 (BWN DEPOT) - 120,Non AC Seater (2+3),19:30,02h 00m,21:30,3.6,INR 100,35 Seats available
Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,SBSTC-KOLKATA - BURDWAN - 20:00 (BWN DEPOT) - 103,Non AC Seater (2+3),20:00,02h 00m,22:00,3.6,INR 95,41 Seats available
Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),18:40,01h 30m,20:00,4.6,INR 429,18 Seats available
Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Suman sabir,Non AC Seater (2+3),18:50,03h 10m,22:00,2.4,INR 111,61 Seats available
Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,,,,,,,,
Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,,,,,,,,
Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,,,,,,,,
Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur,SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),18:40,03h 00m,21:30,4.5,INR 486,16 Seats available
Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Royal Cruiser,Volvo Multi-Axle B9R A/c Seater (2+2),19:30,03h 45m,23:15,3.5,INR 600,39 Seats available
Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Maharani Travels,A/C Seater / Sleeper (2+1),21:05,04h 25m,01:30,2.6,740,8 Seats available
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,SBSTC-KOLKATA - DIGHA - 23:30 (DIGHA DEPOT) - 3988,Non AC Seater (2+3),23:30,04h 30m,04:00,3.6,INR 155,15 Seats available
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,SBSTC-GARIA - DIGHA - 22:30 (DIGHA DEPOT) - 3745,Non AC Seater (2+3),23:45,04h 30m,04:15,4.3,INR 155,17 Seats available
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,Shyamoli Paribahan Pvt Ltd,VE A/C Seater (2+2),23:30,05h 00m,04:30,4.4,INR 400,7 Seats available
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,Mayuri Express,,23:15,05h 15m,04:30,4.3,270,
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,,,,,,,,
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,,,,,,,,
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,,,,,,,,
Digha to Calcutta,https://www.redbus.in/bus-tickets/digha-to-kolkata,Snemita Paribahan(Shinjini),A/C Seater (2+3),22:45,05h 25m,04:10,3.6,INR 420,10 Seats available
Digha to Calcutta,https://www.redbus.in/bus-tickets/digha-to-kolkata,City Express (Shinjini),AC Seater (2+3),22:45,05h 25m,04:10,3.3,INR 420,16 Seats available
