Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - BRT0063,Ordinary Non AC Seater 2+3,20:30,07h 10m,03:40,3.3,INR 448,52 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - KSB0039,Janrath AC Seater 2+2,20:45,05h 00m,01:45,1.4,INR 598,35 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - RKD0153,Ordinary Non AC Seater 2+3,21:00,05h 30m,02:30,3.3,INR 448,52 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - RKD0723,,21:06,05h 34m,02:40,3.3,INR 454,
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,,,,,,,,
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,,,,,,,,
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,,,,,,,,
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,,,,,,,,
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,,,,,,,,
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,,,,,,,,
Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - GRH0274,Ordinary Non AC Seater 2+3,20:31,06h 29m,03:00,3.3,INR 449,52 Seats available
Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - SRG0227,Ordinary Non AC Seater 2+3,20:33,06h 07m,02:40,3.3,INR 444,52 Seats available
Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - GRH0273,Ordinary Non AC Seater 2+3,21:00,06h 30m,03:30,3.3,INR 449,52 Seats available
Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - BRT0007,,21:25,06h 35m,04:00,3.3,INR 448,
Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,,,,,,,,
Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,,,,,,,,
Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,,,,,,,,
Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,,,,,,,,
Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,,,,,,,,
Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,,,,,,,,
Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - BDV0108,Ordinary Non AC Seater 2+3,20:28,03h 21m,23:49,3.3,INR 204,52 Seats available
Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - BDV0100,Ordinary Non AC Seater 2+3,20:30,03h 20m,23:50,3.3,INR 204,52 Seats available
Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - MNP0146,Ordinary Non AC Seater 2+3,20:31,03h 08m,23:39,3.3,INR 255,52 Seats available
Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,,,,,,,,
Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,,,,,,,,
Delhi to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,UPSRTC - HDD0173,Ordinary Non AC Seater 2+3,20:16,04h 09m,00:25,3.3,INR 226,52 Seats available
Delhi to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,UPSRTC - BDV0111,Ordinary Non AC Seater 2+3,20:29,03h 20m,23:49,3.3,INR 204,52 Seats available
Delhi to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,UPSRTC - ETH0075,Ordinary Non AC Seater 2+3,20:31,03h 34m,00:05,3.3,INR 255,52 Seats available
Delhi to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,,,,,,,,
Delhi to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,,,,,,,,
Lucknow to Allahabad,https://www.redbus.in/bus-tickets/lucknow-to-allahabad,UPSRTC - ALM0021,Volvo AC Seater 2+2,20:30,04h 30m,01:00,3.3,INR 658,39 Seats available
Lucknow to Allahabad,https://www.redbus.in/bus-tickets/lucknow-to-allahabad,UPSRTC - RBL0018,Ordinary Non AC Seater 2+3,20:40,05h 00m,01:40,3.3,INR 310,52 Seats available
Lucknow to Allahabad,https://www.redbus.in/bus-tickets/lucknow-to-allahabad,UPSRTC - AWD0035,Janrath AC Seater 2+3,21:00,05h 00m,02:00,1.0,INR 396,48 Seats available
